-,GASTAUER Ben,DNF
-,KUZNETSOV Viacheslav,DNF
-,ALBASINI Michael,DNF
-,BOIVIN Guillaume,DNF
-,SISKEVICIUS Evaldas,DNF
-,NOVAK Domen,DNF
-,DURBRIDGE Luke,DNF
-,BAYER Tobias,DNF
-,CERNY Josef,DNF
-,TYBOR Patrik,DNF
-,HONORE Mikkel Frolich,DNF
-,SCHAR Michael,DNF
-,GUERREIRO Ruben,DNF
-,MUNOZ LANCHEROS Cristian Camilo,DNF
-,GALL Felix,DNF
-,ZOIDL Riccardo,DNF
-,MALECKI Kamil,DNF
-,FOMINYKH Daniil,DNF
-,HEALY Ben,DNF
-,van der LIJKE Nick,DNF
-,RIKUNOV Petr,DNF
-,DILLIER Silvan,DNF
-,PELLAUD Simon,DNF
-,FISHER-BLACK Finn,DNF
-,ABDERRAHIM Zahiri,DNF
-,EIKING Odd Christian,DNF
-,ANIOLKOWSKI Stanislaw,DNF
-,LUKSEVICS Viesturs,DNF
-,BEVIN Patrick,DNF
-,HARING Martin,DNF
-,RIVERA SERRANO Kevin,DNF
-,PIBERNIK Luka,DNF
-,DLAMINI Nicholas,DNF
-,CASTILLO SOTO Ulises Alfredo,DNF
-,GROSU Eduard-Michael,DNF
-,FRIEDRICH Marco,DNF
-,CARTHY Hugh John,DNF
-,CRADDOCK Lawson,DNF
-,CULLY Jan Andrej,DNF
-,CANECKY Marek,DNF
-,TZORTZAKIS Polychronis,DNF
-,BELLAN Juraj,DNF
-,MUGISHA Samuel,DNF
-,ASADOV Elchin,DNF
-,GRUZDEV Dmitriy,DNF
-,WILDAUER Markus,DNF
-,MULLEN Ryan,DNF
-,BIZHIGITOV Zhandos,DNF
-,ARNDT Nikias,DNS
-,LUTSENKO Alexey,DNS
-,BERHANE Natnael,DNS
